sample_id,sample_type,concentration_uM,replicate,absorbance,blank_corrected_absorbance
blank_1,blank,0.0,1,0.01,-0.0004999999999999987
blank_2,blank,0.0,2,0.011,0.0005000000000000004
std_2_1,standard,2.0,1,0.171,0.1605
std_2_2,standard,2.0,2,0.169,0.1585
std_2_3,standard,2.0,3,0.172,0.16149999999999998
std_4_1,standard,4.0,1,0.329,0.3185
std_4_2,standard,4.0,2,0.331,0.3205
std_4_3,standard,4.0,3,0.328,0.3175
std_6_1,standard,6.0,1,0.489,0.4785
std_6_2,standard,6.0,2,0.491,0.4805
std_8_1,standard,8.0,1,0.648,0.6375000000000001
std_8_2,standard,8.0,2,0.652,0.6415000000000001
std_8_3,standard,8.0,3,0.65,0.6395000000000001
std_10_1,standard,10.0,1,0.807,0.7965000000000001
std_10_2,standard,10.0,2,0.812,0.8015000000000001
std_10_3,standard,10.0,3,0.809,0.7985000000000001
unknown_1,unknown,,1,0.603,0.5925
unknown_2,unknown,,2,0.606,0.5955
unknown_3,unknown,,3,0.604,0.5935
